experiment_name,fold,seed,source_checkpoint,target_checkpoint,best_epoch,val_calibrated_threshold,macro_f1_at_0.5,macro_f1_at_valcal,positive_f1_at_0.5,positive_f1_at_valcal,roc_auc,pr_auc,precision_at_0.5,recall_at_0.5,accuracy_at_0.5,validation_and_threshold_seconds,test_inference_seconds,CWE-022_at_0.5_number_of_samples,CWE-022_at_0.5_positive_ratio,CWE-022_at_0.5_macro_f1,CWE-022_at_0.5_positive_f1,CWE-022_at_0.5_precision,CWE-022_at_0.5_recall,CWE-022_at_0.5_accuracy,CWE-078_at_0.5_number_of_samples,CWE-078_at_0.5_positive_ratio,CWE-078_at_0.5_macro_f1,CWE-078_at_0.5_positive_f1,CWE-078_at_0.5_precision,CWE-078_at_0.5_recall,CWE-078_at_0.5_accuracy,CWE-079_at_0.5_number_of_samples,CWE-079_at_0.5_positive_ratio,CWE-079_at_0.5_macro_f1,CWE-079_at_0.5_positive_f1,CWE-079_at_0.5_precision,CWE-079_at_0.5_recall,CWE-079_at_0.5_accuracy,CWE-089_at_0.5_number_of_samples,CWE-089_at_0.5_positive_ratio,CWE-089_at_0.5_macro_f1,CWE-089_at_0.5_positive_f1,CWE-089_at_0.5_precision,CWE-089_at_0.5_recall,CWE-089_at_0.5_accuracy,CWE-022_at_valcal_number_of_samples,CWE-022_at_valcal_positive_ratio,CWE-022_at_valcal_macro_f1,CWE-022_at_valcal_positive_f1,CWE-022_at_valcal_precision,CWE-022_at_valcal_recall,CWE-022_at_valcal_accuracy,CWE-078_at_valcal_number_of_samples,CWE-078_at_valcal_positive_ratio,CWE-078_at_valcal_macro_f1,CWE-078_at_valcal_positive_f1,CWE-078_at_valcal_precision,CWE-078_at_valcal_recall,CWE-078_at_valcal_accuracy,CWE-079_at_valcal_number_of_samples,CWE-079_at_valcal_positive_ratio,CWE-079_at_valcal_macro_f1,CWE-079_at_valcal_positive_f1,CWE-079_at_valcal_precision,CWE-079_at_valcal_recall,CWE-079_at_valcal_accuracy,CWE-089_at_valcal_number_of_samples,CWE-089_at_valcal_positive_ratio,CWE-089_at_valcal_macro_f1,CWE-089_at_valcal_positive_f1,CWE-089_at_valcal_precision,CWE-089_at_valcal_recall,CWE-089_at_valcal_accuracy
backbone_codet5p/baseline,1,36,,model/backbone_codet5p/baseline/seed_36/fold1/best.pt,12,0.59,0.8486776609098385,0.8486776609098385,0.8496732026143791,0.847682119205298,0.9160146061554513,0.9353467346306863,0.9027777777777778,0.8024691358024691,0.8486842105263158,2.158360134999384,1.1082366200007527,19,0.47368421052631576,0.6144927536231883,0.5333333333333333,0.6666666666666666,0.4444444444444444,0.631578947368421,39,0.6153846153846154,0.7880434782608696,0.8260869565217391,0.8636363636363636,0.7916666666666666,0.7948717948717948,14,0.5,0.641025641025641,0.6153846153846154,0.6666666666666666,0.5714285714285714,0.6428571428571429,80,0.5125,0.9624941397093296,0.9620253164556962,1.0,0.926829268292683,0.9625,19,0.47368421052631576,0.6144927536231883,0.5333333333333333,0.6666666666666666,0.4444444444444444,0.631578947368421,39,0.6153846153846154,0.7914438502673797,0.8181818181818182,0.9,0.75,0.7948717948717948,14,0.5,0.641025641025641,0.6153846153846154,0.6666666666666666,0.5714285714285714,0.6428571428571429,80,0.5125,0.9624941397093296,0.9620253164556962,1.0,0.926829268292683,0.9625
backbone_codet5p/baseline,2,36,,model/backbone_codet5p/baseline/seed_36/fold2/best.pt,8,0.5,0.8552380952380952,0.8552380952380952,0.8533333333333334,0.8533333333333334,0.9270616770616771,0.9432641391747413,0.8888888888888888,0.8205128205128205,0.8552631578947368,2.2986730909997277,1.095197343000109,8,0.5,0.36507936507936506,0.2857142857142857,0.3333333333333333,0.25,0.375,42,0.5238095238095238,0.7855927396483267,0.7906976744186046,0.8095238095238095,0.7727272727272727,0.7857142857142857,19,0.5263157894736842,0.6833333333333333,0.6666666666666666,0.75,0.6,0.6842105263157895,83,0.5060240963855421,0.9759001161440186,0.975609756097561,1.0,0.9523809523809523,0.9759036144578314,8,0.5,0.36507936507936506,0.2857142857142857,0.3333333333333333,0.25,0.375,42,0.5238095238095238,0.7855927396483267,0.7906976744186046,0.8095238095238095,0.7727272727272727,0.7857142857142857,19,0.5263157894736842,0.6833333333333333,0.6666666666666666,0.75,0.6,0.6842105263157895,83,0.5060240963855421,0.9759001161440186,0.975609756097561,1.0,0.9523809523809523,0.9759036144578314
backbone_codet5p/baseline,3,36,,model/backbone_codet5p/baseline/seed_36/fold3/best.pt,10,0.9,0.8149886976178056,0.7940469426111281,0.8028169014084507,0.7737226277372263,0.9128472222222223,0.8946395091660806,0.8142857142857143,0.7916666666666666,0.8157894736842105,2.169413938001526,1.1102392020002299,15,0.6666666666666666,0.3891402714932127,0.47058823529411764,0.5714285714285714,0.4,0.4,38,0.5263157894736842,0.7368421052631579,0.7368421052631579,0.7777777777777778,0.7,0.7368421052631579,20,0.45,0.6419437340153453,0.6956521739130435,0.5714285714285714,0.8888888888888888,0.65,79,0.4177215189873418,0.9737367021276595,0.96875,1.0,0.9393939393939394,0.9746835443037974,15,0.6666666666666666,0.33035714285714285,0.375,0.5,0.3,0.3333333333333333,38,0.5263157894736842,0.7368421052631579,0.7368421052631579,0.7777777777777778,0.7,0.7368421052631579,20,0.45,0.6491228070175439,0.6666666666666666,0.5833333333333334,0.7777777777777778,0.65,79,0.4177215189873418,0.9469086021505376,0.9354838709677419,1.0,0.8787878787878788,0.9493670886075949
backbone_codet5p/baseline,4,36,,model/backbone_codet5p/baseline/seed_36/fold4/best.pt,25,0.18,0.842077922077922,0.842077922077922,0.84,0.84,0.9373144752924742,0.9214034735048313,0.7777777777777778,0.9130434782608695,0.8421052631578947,2.175768261997291,1.1074863319990982,11,0.2727272727272727,0.45,0.4,0.2857142857142857,0.6666666666666666,0.45454545454545453,41,0.3902439024390244,0.67987987987988,0.6486486486486487,0.5714285714285714,0.75,0.6829268292682927,13,0.3076923076923077,0.7636363636363637,0.7272727272727273,0.5714285714285714,1.0,0.7692307692307693,87,0.5287356321839081,0.9769353128313891,0.9782608695652174,0.9782608695652174,0.9782608695652174,0.9770114942528736,11,0.2727272727272727,0.45,0.4,0.2857142857142857,0.6666666666666666,0.45454545454545453,41,0.3902439024390244,0.67987987987988,0.6486486486486487,0.5714285714285714,0.75,0.6829268292682927,13,0.3076923076923077,0.7636363636363637,0.7272727272727273,0.5714285714285714,1.0,0.7692307692307693,87,0.5287356321839081,0.9769353128313891,0.9782608695652174,0.9782608695652174,0.9782608695652174,0.9770114942528736
backbone_codet5p/baseline,5,36,,model/backbone_codet5p/baseline/seed_36/fold5/best.pt,13,0.05,0.8486252435592119,0.8481518481518482,0.8516129032258064,0.8571428571428571,0.9243055555555556,0.9378565906511596,0.88,0.825,0.8486842105263158,2.1531907780008623,1.0974055679980665,13,0.5384615384615384,0.606060606060606,0.6666666666666666,0.625,0.7142857142857143,0.6153846153846154,44,0.45454545454545453,0.7944992215879605,0.7804878048780488,0.7619047619047619,0.8,0.7954545454545454,16,0.6875,0.6190476190476191,0.6666666666666666,0.8571428571428571,0.5454545454545454,0.625,79,0.5316455696202531,0.962000962000962,0.9629629629629629,1.0,0.9285714285714286,0.9620253164556962,13,0.5384615384615384,0.606060606060606,0.6666666666666666,0.625,0.7142857142857143,0.6153846153846154,44,0.45454545454545453,0.7498708010335917,0.7555555555555555,0.68,0.85,0.75,16,0.6875,0.6761133603238867,0.7368421052631579,0.875,0.6363636363636364,0.6875,79,0.5316455696202531,0.9746469833119384,0.975609756097561,1.0,0.9523809523809523,0.9746835443037974
