experiment_name,fold,seed,source_checkpoint,target_checkpoint,best_epoch,val_calibrated_threshold,macro_f1_at_0.5,macro_f1_at_valcal,positive_f1_at_0.5,positive_f1_at_valcal,roc_auc,pr_auc,precision_at_0.5,recall_at_0.5,accuracy_at_0.5,CWE-022_number_of_samples,CWE-022_positive_ratio,CWE-022_macro_f1,CWE-022_positive_f1,CWE-022_precision,CWE-022_recall,CWE-022_accuracy,CWE-078_number_of_samples,CWE-078_positive_ratio,CWE-078_macro_f1,CWE-078_positive_f1,CWE-078_precision,CWE-078_recall,CWE-078_accuracy,CWE-079_number_of_samples,CWE-079_positive_ratio,CWE-079_macro_f1,CWE-079_positive_f1,CWE-079_precision,CWE-079_recall,CWE-079_accuracy,CWE-089_number_of_samples,CWE-089_positive_ratio,CWE-089_macro_f1,CWE-089_positive_f1,CWE-089_precision,CWE-089_recall,CWE-089_accuracy
cwe_recadam_ccpp_to_py,1,42,model/cwe_recadam_ccpp_to_py/source/seed_42/best.pt,model/cwe_recadam_ccpp_to_py/python/fold1/seed_42/best.pt,13,0.46,0.8088050314465409,0.8088050314465409,0.8176100628930818,0.8176100628930818,0.8942792557816032,0.9156548825948745,0.8333333333333334,0.8024691358024691,0.8092105263157895,19,0.47368421052631576,0.4145658263305322,0.47619047619047616,0.4166666666666667,0.5555555555555556,0.42105263157894735,39,0.6153846153846154,0.7393048128342246,0.7727272727272727,0.85,0.7083333333333334,0.7435897435897436,14,0.5,0.641025641025641,0.6153846153846154,0.6666666666666666,0.5714285714285714,0.6428571428571429,80,0.5125,0.9624941397093296,0.9629629629629629,0.975,0.9512195121951219,0.9625
cwe_recadam_ccpp_to_py,2,42,model/cwe_recadam_ccpp_to_py/source/seed_42/best.pt,model/cwe_recadam_ccpp_to_py/python/fold2/seed_42/best.pt,16,0.29,0.7885585115632063,0.7885585115632063,0.8024691358024691,0.8024691358024691,0.8804573804573805,0.8927606511384065,0.7738095238095238,0.8333333333333334,0.7894736842105263,8,0.5,0.2,0.4,0.3333333333333333,0.5,0.25,42,0.5238095238095238,0.7613636363636364,0.7727272727272727,0.7727272727272727,0.7727272727272727,0.7619047619047619,19,0.5263157894736842,0.5681818181818181,0.6363636363636364,0.5833333333333334,0.7,0.5789473684210527,83,0.5060240963855421,0.9034883720930232,0.9069767441860465,0.8863636363636364,0.9285714285714286,0.9036144578313253
cwe_recadam_ccpp_to_py,3,42,model/cwe_recadam_ccpp_to_py/source/seed_42/best.pt,model/cwe_recadam_ccpp_to_py/python/fold3/seed_42/best.pt,4,0.52,0.7749128919860627,0.7611314824515453,0.7571428571428571,0.7391304347826086,0.8657986111111111,0.8376536914984096,0.7794117647058824,0.7361111111111112,0.7763157894736842,15,0.6666666666666666,0.4642857142857143,0.5,0.6666666666666666,0.4,0.4666666666666667,38,0.5263157894736842,0.7368421052631579,0.7368421052631579,0.7777777777777778,0.7,0.7368421052631579,20,0.45,0.44862155388471175,0.42105263157894735,0.4,0.4444444444444444,0.45,79,0.4177215189873418,0.9085194375516956,0.8923076923076924,0.90625,0.8787878787878788,0.9113924050632911
cwe_recadam_ccpp_to_py,4,42,model/cwe_recadam_ccpp_to_py/source/seed_42/best.pt,model/cwe_recadam_ccpp_to_py/python/fold4/seed_42/best.pt,21,0.05,0.8085392868001564,0.8155019941043871,0.7972027972027972,0.8082191780821918,0.9122577265584075,0.9054565665446722,0.7702702702702703,0.8260869565217391,0.8092105263157895,11,0.2727272727272727,0.3418803418803419,0.2222222222222222,0.16666666666666666,0.3333333333333333,0.36363636363636365,41,0.3902439024390244,0.6628716002530044,0.5806451612903226,0.6,0.5625,0.6829268292682927,13,0.3076923076923077,0.5357142857142857,0.5,0.375,0.75,0.5384615384615384,87,0.5287356321839081,0.9768617021276595,0.9787234042553191,0.9583333333333334,1.0,0.9770114942528736
cwe_recadam_ccpp_to_py,5,42,model/cwe_recadam_ccpp_to_py/source/seed_42/best.pt,model/cwe_recadam_ccpp_to_py/python/fold5/seed_42/best.pt,13,0.58,0.7625,0.7625,0.775,0.775,0.8817708333333333,0.9039054673576864,0.775,0.775,0.7631578947368421,13,0.5384615384615384,0.3076923076923077,0.3076923076923077,0.3333333333333333,0.2857142857142857,0.3076923076923077,44,0.45454545454545453,0.7267080745341614,0.7391304347826086,0.6538461538461539,0.85,0.7272727272727273,16,0.6875,0.41700404858299595,0.5263157894736842,0.625,0.45454545454545453,0.4375,79,0.5316455696202531,0.9239409499358151,0.926829268292683,0.95,0.9047619047619048,0.9240506329113924
