experiment_name,fold,seed,source_checkpoint,target_checkpoint,best_epoch,val_calibrated_threshold,macro_f1_at_0.5,macro_f1_at_valcal,positive_f1_at_0.5,positive_f1_at_valcal,roc_auc,pr_auc,precision_at_0.5,recall_at_0.5,accuracy_at_0.5,validation_and_threshold_seconds,test_inference_seconds,CWE-022_at_0.5_number_of_samples,CWE-022_at_0.5_positive_ratio,CWE-022_at_0.5_macro_f1,CWE-022_at_0.5_positive_f1,CWE-022_at_0.5_precision,CWE-022_at_0.5_recall,CWE-022_at_0.5_accuracy,CWE-078_at_0.5_number_of_samples,CWE-078_at_0.5_positive_ratio,CWE-078_at_0.5_macro_f1,CWE-078_at_0.5_positive_f1,CWE-078_at_0.5_precision,CWE-078_at_0.5_recall,CWE-078_at_0.5_accuracy,CWE-079_at_0.5_number_of_samples,CWE-079_at_0.5_positive_ratio,CWE-079_at_0.5_macro_f1,CWE-079_at_0.5_positive_f1,CWE-079_at_0.5_precision,CWE-079_at_0.5_recall,CWE-079_at_0.5_accuracy,CWE-089_at_0.5_number_of_samples,CWE-089_at_0.5_positive_ratio,CWE-089_at_0.5_macro_f1,CWE-089_at_0.5_positive_f1,CWE-089_at_0.5_precision,CWE-089_at_0.5_recall,CWE-089_at_0.5_accuracy,CWE-022_at_valcal_number_of_samples,CWE-022_at_valcal_positive_ratio,CWE-022_at_valcal_macro_f1,CWE-022_at_valcal_positive_f1,CWE-022_at_valcal_precision,CWE-022_at_valcal_recall,CWE-022_at_valcal_accuracy,CWE-078_at_valcal_number_of_samples,CWE-078_at_valcal_positive_ratio,CWE-078_at_valcal_macro_f1,CWE-078_at_valcal_positive_f1,CWE-078_at_valcal_precision,CWE-078_at_valcal_recall,CWE-078_at_valcal_accuracy,CWE-079_at_valcal_number_of_samples,CWE-079_at_valcal_positive_ratio,CWE-079_at_valcal_macro_f1,CWE-079_at_valcal_positive_f1,CWE-079_at_valcal_precision,CWE-079_at_valcal_recall,CWE-079_at_valcal_accuracy,CWE-089_at_valcal_number_of_samples,CWE-089_at_valcal_positive_ratio,CWE-089_at_valcal_macro_f1,CWE-089_at_valcal_positive_f1,CWE-089_at_valcal_precision,CWE-089_at_valcal_recall,CWE-089_at_valcal_accuracy
backbone_codet5p/transfer,1,36,model/backbone_codet5p/transfer/seed_36/source/best.pt,model/backbone_codet5p/transfer/seed_36/fold1/best.pt,3,0.48,0.6885110093743187,0.7188160676532769,0.7151515151515152,0.7558139534883721,0.7838636758824552,0.8140631854134533,0.7023809523809523,0.7283950617283951,0.6907894736842105,2.264355205999891,1.106896360999599,19,0.47368421052631576,0.39420289855072466,0.5217391304347826,0.42857142857142855,0.6666666666666666,0.42105263157894735,39,0.6153846153846154,0.5334271639690359,0.6530612244897959,0.64,0.6666666666666666,0.5641025641025641,14,0.5,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,80,0.5125,0.8124706985466479,0.810126582278481,0.8421052631578947,0.7804878048780488,0.8125,19,0.47368421052631576,0.43452380952380953,0.5833333333333334,0.4666666666666667,0.7777777777777778,0.47368421052631576,39,0.6153846153846154,0.5787037037037037,0.7407407407407407,0.6666666666666666,0.8333333333333334,0.6410256410256411,14,0.5,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,80,0.5125,0.825,0.825,0.8461538461538461,0.8048780487804879,0.825
backbone_codet5p/transfer,2,36,model/backbone_codet5p/transfer/seed_36/source/best.pt,model/backbone_codet5p/transfer/seed_36/fold2/best.pt,16,0.05,0.8092022681037094,0.8353481519996534,0.8104575163398693,0.8407643312101911,0.8953568953568953,0.9018676218626751,0.8266666666666667,0.7948717948717948,0.8092105263157895,2.165797644000122,1.092963769000562,8,0.5,0.36507936507936506,0.2857142857142857,0.3333333333333333,0.25,0.375,42,0.5238095238095238,0.6888888888888889,0.7111111111111111,0.6956521739130435,0.7272727272727273,0.6904761904761905,19,0.5263157894736842,0.6144927536231883,0.5333333333333333,0.8,0.4,0.631578947368421,83,0.5060240963855421,0.9517441860465117,0.9534883720930233,0.9318181818181818,0.9761904761904762,0.9518072289156626,8,0.5,0.36507936507936506,0.2857142857142857,0.3333333333333333,0.25,0.375,42,0.5238095238095238,0.6888888888888889,0.7111111111111111,0.6956521739130435,0.7272727272727273,0.6904761904761905,19,0.5263157894736842,0.8421052631578947,0.8421052631578947,0.8888888888888888,0.8,0.8421052631578947,83,0.5060240963855421,0.9517441860465117,0.9534883720930233,0.9318181818181818,0.9761904761904762,0.9518072289156626
backbone_codet5p/transfer,3,36,model/backbone_codet5p/transfer/seed_36/source/best.pt,model/backbone_codet5p/transfer/seed_36/fold3/best.pt,23,0.05,0.867595818815331,0.8611147369795066,0.8571428571428571,0.851063829787234,0.8980902777777777,0.848297265998537,0.8823529411764706,0.8333333333333334,0.868421052631579,2.168840309997904,1.1114861099995323,15,0.6666666666666666,0.7222222222222222,0.7777777777777778,0.875,0.7,0.7333333333333333,38,0.5263157894736842,0.788888888888889,0.8,0.8,0.8,0.7894736842105263,20,0.45,0.7442455242966752,0.7058823529411765,0.75,0.6666666666666666,0.75,79,0.4177215189873418,0.9607940446650125,0.9538461538461539,0.96875,0.9393939393939394,0.9620253164556962,15,0.6666666666666666,0.7222222222222222,0.7777777777777778,0.875,0.7,0.7333333333333333,38,0.5263157894736842,0.788888888888889,0.8,0.8,0.8,0.7894736842105263,20,0.45,0.7442455242966752,0.7058823529411765,0.75,0.6666666666666666,0.75,79,0.4177215189873418,0.9479578392621871,0.9393939393939394,0.9393939393939394,0.9393939393939394,0.9493670886075949
backbone_codet5p/transfer,4,36,model/backbone_codet5p/transfer/seed_36/source/best.pt,model/backbone_codet5p/transfer/seed_36/fold4/best.pt,20,0.16,0.8418588520894745,0.8418588520894745,0.8356164383561644,0.8356164383561644,0.9189802689016937,0.8951996539262012,0.7922077922077922,0.8840579710144928,0.8421052631578947,2.263240731001133,1.1139331470003526,11,0.2727272727272727,0.5454545454545454,0.5454545454545454,0.375,1.0,0.5454545454545454,41,0.3902439024390244,0.7258358662613982,0.6857142857142857,0.631578947368421,0.75,0.7317073170731707,13,0.3076923076923077,0.8375,0.8,0.6666666666666666,1.0,0.8461538461538461,87,0.5287356321839081,0.930952380952381,0.9333333333333333,0.9545454545454546,0.9130434782608695,0.9310344827586207,11,0.2727272727272727,0.5454545454545454,0.5454545454545454,0.375,1.0,0.5454545454545454,41,0.3902439024390244,0.7258358662613982,0.6857142857142857,0.631578947368421,0.75,0.7317073170731707,13,0.3076923076923077,0.8375,0.8,0.6666666666666666,1.0,0.8461538461538461,87,0.5287356321839081,0.930952380952381,0.9333333333333333,0.9545454545454546,0.9130434782608695,0.9310344827586207
backbone_codet5p/transfer,5,36,model/backbone_codet5p/transfer/seed_36/source/best.pt,model/backbone_codet5p/transfer/seed_36/fold5/best.pt,18,0.32,0.8221760041596257,0.8286804230969308,0.8280254777070064,0.8354430379746836,0.9255208333333333,0.9392589198432922,0.8441558441558441,0.8125,0.8223684210526315,2.2683809619993553,1.0967246340005659,13,0.5384615384615384,0.6153846153846154,0.6153846153846154,0.6666666666666666,0.5714285714285714,0.6153846153846154,44,0.45454545454545453,0.7031655422937209,0.6829268292682927,0.6666666666666666,0.7,0.7045454545454546,16,0.6875,0.6761133603238867,0.7368421052631579,0.875,0.6363636363636364,0.6875,79,0.5316455696202531,0.9491634491634491,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9493670886075949,13,0.5384615384615384,0.6904761904761905,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.6923076923076923,44,0.45454545454545453,0.7031655422937209,0.6829268292682927,0.6666666666666666,0.7,0.7045454545454546,16,0.6875,0.6761133603238867,0.7368421052631579,0.875,0.6363636363636364,0.6875,79,0.5316455696202531,0.9491634491634491,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9493670886075949
